location,date,temperature,humidity,rain,wind_speed_mps,solar_radiation
"Chhattisgarh, Durg",1966,25,80,1200,2.0,18
"Chhattisgarh, Durg",1966,22,70,800,2.5,20
"Chhattisgarh, Durg",1966,20,60,600,1.5,16
"Chhattisgarh, Durg",1967,25,80,1200,2.0,18
"Chhattisgarh, Durg",1967,22,70,800,2.5,20
"Chhattisgarh, Durg",1967,20,60,600,1.5,16
"Chhattisgarh, Durg",1968,25,80,1200,2.0,18
"Chhattisgarh, Durg",1968,22,70,800,2.5,20
"Chhattisgarh, Durg",1968,20,60,600,1.5,16
"Chhattisgarh, Durg",1969,25,80,1200,2.0,18
"Chhattisgarh, Durg",1969,22,70,800,2.5,20
"Chhattisgarh, Durg",1969,20,60,600,1.5,16
"Chhattisgarh, Durg",1970,25,80,1200,2.0,18
"Chhattisgarh, Durg",1970,22,70,800,2.5,20
"Chhattisgarh, Durg",1970,20,60,600,1.5,16
"Chhattisgarh, Durg",1971,25,80,1200,2.0,18
"Chhattisgarh, Durg",1971,22,70,800,2.5,20
"Chhattisgarh, Durg",1971,20,60,600,1.5,16
"Chhattisgarh, Durg",1972,25,80,1200,2.0,18
"Chhattisgarh, Durg",1972,22,70,800,2.5,20
"Chhattisgarh, Durg",1972,20,60,600,1.5,16
"Chhattisgarh, Durg",1973,25,80,1200,2.0,18
"Chhattisgarh, Durg",1973,22,70,800,2.5,20
"Chhattisgarh, Durg",1973,20,60,600,1.5,16
"Chhattisgarh, Durg",1974,25,80,1200,2.0,18
"Chhattisgarh, Durg",1974,22,70,800,2.5,20
"Chhattisgarh, Durg",1974,20,60,600,1.5,16
"Chhattisgarh, Durg",1975,25,80,1200,2.0,18
"Chhattisgarh, Durg",1975,22,70,800,2.5,20
"Chhattisgarh, Durg",1975,20,60,600,1.5,16
"Chhattisgarh, Durg",1976,25,80,1200,2.0,18
"Chhattisgarh, Durg",1976,22,70,800,2.5,20
"Chhattisgarh, Durg",1976,20,60,600,1.5,16
"Chhattisgarh, Durg",1977,25,80,1200,2.0,18
"Chhattisgarh, Durg",1977,22,70,800,2.5,20
"Chhattisgarh, Durg",1977,20,60,600,1.5,16
"Chhattisgarh, Durg",1978,25,80,1200,2.0,18
"Chhattisgarh, Durg",1978,22,70,800,2.5,20
"Chhattisgarh, Durg",1978,20,60,600,1.5,16
"Chhattisgarh, Durg",1979,25,80,1200,2.0,18
"Chhattisgarh, Durg",1979,22,70,800,2.5,20
"Chhattisgarh, Durg",1979,20,60,600,1.5,16
"Chhattisgarh, Durg",1980,25,80,1200,2.0,18
"Chhattisgarh, Durg",1980,22,70,800,2.5,20
"Chhattisgarh, Durg",1980,20,60,600,1.5,16
"Chhattisgarh, Durg",1981,25,80,1200,2.0,18
"Chhattisgarh, Durg",1981,22,70,800,2.5,20
"Chhattisgarh, Durg",1981,20,60,600,1.5,16
"Chhattisgarh, Durg",1982,25,80,1200,2.0,18
"Chhattisgarh, Durg",1982,22,70,800,2.5,20
"Chhattisgarh, Durg",1982,20,60,600,1.5,16
